"","mn1","q751","q251","mn2","q752","q252","mn3","q753","q253","years"
"721",1.15924796477226,1.24113711785232,1.07560815272132,2.02198977522479,2.17670912000853,1.86300744049836,2.83128230352592,3.05559108624356,2.60162309066491,2090
"731",1.17680647899313,1.25993596365244,1.09189981905981,2.05166911121374,2.20865947016091,1.89035318895563,2.87154582508403,3.09904449158591,2.63862064024399,2091
"741",1.19433125594393,1.27869868898532,1.10816018227434,2.08126196040797,2.24051671569073,1.91761925078736,2.91165210298661,3.14232819561956,2.6754737009727,2092
"751",1.21182223507001,1.29742522901872,1.12438918617928,2.11076835179596,2.27228088780462,1.94480565270275,2.95160143295339,3.18544251749268,2.7121825445835,2093
"761",1.22927936811485,1.31611553208732,1.14058678599984,2.14018833617463,2.30395204118641,1.97191244150475,2.99139414111745,3.2283878091763,2.74874747075521,2094
"771",1.24670261793676,1.3347695584257,1.15675294727408,2.16952198400047,2.3355302516838,1.99893968211006,3.03103058089721,3.27116445208847,2.78516880423876,2095
"781",1.26409195743803,1.353387279022,1.1728876448594,2.19876938344524,2.36701561421531,2.02588745575782,3.07051113016712,3.3137728540408,2.82144689225733,2096
"791",1.2814473685962,1.37196867458065,1.18899086203367,2.22793063863703,2.39840824087675,2.05275585838886,3.10983618869844,3.35621344647648,2.85758210215477,2097
"801",1.2987688415874,1.39051373458382,1.20506258968181,2.25700586806889,2.42970825922804,2.0795449991795,3.14900617584451,3.39848668197219,2.89357481926862,2098
"811",1.31605637399323,1.40902245644228,1.22110282555991,2.28599520315906,2.46091581074336,2.10625499921504,3.18802152844725,3.44059303197874,2.92942544500641,2099
"821",1.3333099700831,1.42749484472702,1.23711157362932,2.31489878694856,2.49203104940897,2.13288599028962,3.22688269894379,3.48253298477763,2.96513439510586,2100
"831",1.35052964016487,1.44593091047405,1.25308884345421,2.34371677292279,2.52305414045471,2.1594381138206,3.26559015365414,3.52430704363316,3.00070209806148,2101
"841",1.36771539999738,1.46433067055542,1.26903464965642,2.37244932394556,2.5539852592065,2.18591151986637,3.3041443712328,3.56591572512131,3.03612899370175,2102
"851",1.38486727025886,1.48269414711006,1.28494901142223,2.40109661129482,2.58482459004817,2.21230636623785,3.34254584126856,3.60735955761862,3.07141553190252,2103
"861",1.40198527606593,1.50102136702883,1.3008319520561,2.42965881379027,2.61557232548243,2.23862281769475,3.38079506301852,3.6486390799359,3.10656217142367,2104
"871",1.41906944653848,1.51931236148865,1.31668349857693,2.45813611700427,2.64622866528131,2.26486104521848,3.41889254426339,3.68975484008288,3.14156937885735,2105
"881",1.43611981440591,1.5375671655309,1.33250368135266,2.48652871254804,2.67679381571782,2.29102122535452,3.4568388002727,3.7307073941514,3.17643762767704,2106
"891",1.45313641565087,1.55578581768006,1.34829253376983,2.51483679742598,2.70726798887082,2.31710353961746,3.49463435286938,3.77149730530587,3.21116739737803,2107
"901",1.47011928918699,1.57396835959862,1.36405009193443,2.54306057345171,2.73765140199636,2.34310817395298,3.53227972958413,3.81212514287071,3.24575917270043,2108
"911",1.48706847656726,1.59211483577485,1.37977639440138,2.57120024671977,2.76794427695902,2.36903531825111,3.56977546289131,3.85259148150565,3.280213442927,2109
"921",1.50398402172013,1.61022529324032,1.39547148192973,2.59925602712798,2.79814683971764,2.39488516590609,3.60712208951834,3.89289690046041,3.31453070124854,2110
"931",1.5208659707109,1.62829978131436,1.41113539726114,2.62722812794528,2.82825931986015,2.42065791341823,3.64432014982166,3.93304198290126,3.34871144419054,2111
"941",1.53771437152567,1.64633835137281,1.42676818491951,2.65511676542106,2.85828195018299,2.44635376003396,3.68137018722304,3.97302731530266,3.38275617109517,2112
"951",1.554529273876,1.66434105663886,1.44236989102971,2.68292215843177,2.88821496631068,2.47197290742018,3.71827274770038,4.01285348689766,3.41666538365336,2113
"961",1.57131072902213,1.68230795199375,1.45794056315355,2.71064452816141,2.91805860635187,2.49751555936996,3.75502837932774,4.0525210891816,3.45043958548221,2114
"971",1.58805878961304,1.70023909380559,1.4734802501414,2.73828409781267,2.94781311058833,2.52298192153628,3.79163763186018,4.09203071546396,3.48407928174343,2115
"981",1.6047735095418,1.71813453977445,1.48898900199792,2.76584109234569,2.97747872119379,2.54837220119142,3.82810105635881,4.13138296046375,3.51758497879886,2116
"991",1.62145494381468,1.73599434879223,1.50446686976068,2.79331573824193,3.00705568197971,2.57368660700936,3.86441920485245,4.17057841994436,3.55095718389956,2117
"1001",1.63810314843271,1.75381858081587,1.51991390539023,2.82070826329075,3.0365442381655,2.59892534886911,3.90059263003236,4.20961769038411,3.58419640490528,2118
"1011",1.65471818028461,1.77160729675271,1.53533016167078,2.84801889639639,3.06594463617081,2.62408863767699,3.93662188497682,4.24850136867899,3.61730315003142,2119
"1021",1.67130009704988,1.78936055835672,1.55071569212023,2.87524786740371,3.09525712342782,2.64917668520587,3.97250752290282,4.2872300518747,3.6502779276208,2120
